PI	sample	Genetic_load	N_del	cutoff	cutoff_score	chr	miss	Race	Abs_genetic_load
PI533919	PI533919_PI533919	-9313.8085839	626	1%	-7.34375	Chr08	miss50	Bicolor	9313.8085839
PI533919	PI533919_PI533919	-121836.6379349	12181	25%	-3.75	Chr09	miss50	Bicolor	121836.6379349
PI533919	PI533919_PI533919	-57222.8748946999	4751	10%	-5.33116459	Chr09	miss50	Bicolor	57222.8748946999
PI533919	PI533919_PI533919	-30689.2640206	2341	5%	-6.0703125	Chr09	miss50	Bicolor	30689.2640206
PI533919	PI533919_PI533919	-7247.1909066	480	1%	-7.2578125	Chr09	miss50	Bicolor	7247.1909066
PI533919	PI533919_PI533919	-110090.523695	11388	25%	-3.803711	Chr10	miss50	Bicolor	110090.523695
PI533919	PI533919_PI533919	-52053.9355127	4484	10%	-5.375	Chr10	miss50	Bicolor	52053.9355127
PI533919	PI533919_PI533919	-28036.608494	2221	5%	-6.1035156	Chr10	miss50	Bicolor	28036.608494
PI533919	PI533919_PI533919	-6411.8062772	436	1%	-7.2773438	Chr10	miss50	Bicolor	6411.8062772
PI533921	PI533921_PI533921	-178936.2342098	18743	25%	-3.4990234	Chr01	miss50	Bicolor	178936.2342098
PI533921	PI533921_PI533921	-86866.2366536001	7448	10%	-5.1816406	Chr01	miss50	Bicolor	86866.2366536001
PI533921	PI533921_PI533921	-47219.3564984	3700	5%	-5.9814453	Chr01	miss50	Bicolor	47219.3564984
PI533921	PI533921_PI533921	-11015.7224015	741	1%	-7.209961	Chr01	miss50	Bicolor	11015.7224015
PI533921	PI533921_PI533921	-186992.275173799	19883	25%	-3.3007812	Chr02	miss50	Bicolor	186992.275173799
PI533921	PI533921_PI533921	-94630.1889825	8161	10%	-4.9757812	Chr02	miss50	Bicolor	94630.1889825
PI533921	PI533921_PI533921	-52602.5902220999	4129	5%	-5.8046875	Chr02	miss50	Bicolor	52602.5902220999
PI533921	PI533921_PI533921	-11672.2842994	782	1%	-7.1015625	Chr02	miss50	Bicolor	11672.2842994
PI533921	PI533921_PI533921	-213735.601453601	23333	25%	-3.1981201	Chr03	miss50	Bicolor	213735.601453601
PI533921	PI533921_PI533921	-112606.9510669	10018	10%	-4.8928223	Chr03	miss50	Bicolor	112606.9510669
PI533921	PI533921_PI533921	-62622.1073129	5053	5%	-5.73617855	Chr03	miss50	Bicolor	62622.1073129
PI533921	PI533921_PI533921	-14752.2008153	1023	1%	-7.045371144	Chr03	miss50	Bicolor	14752.2008153
PI533921	PI533921_PI533921	-178081.294377	17622	25%	-3.8300781	Chr04	miss50	Bicolor	178081.294377
PI533921	PI533921_PI533921	-85704.7831783	7103	10%	-5.4033203	Chr04	miss50	Bicolor	85704.7831783
PI533921	PI533921_PI533921	-46328.1914755001	3519	5%	-6.12265628	Chr04	miss50	Bicolor	46328.1914755001
PI533921	PI533921_PI533921	-10671.1874997	703	1%	-7.2910156	Chr04	miss50	Bicolor	10671.1874997
PI533921	PI533921_PI533921	-148645.9966599	15162	25%	-3.6359863	Chr05	miss50	Bicolor	148645.9966599
PI533921	PI533921_PI533921	-71598.3724287999	6036	10%	-5.276367	Chr05	miss50	Bicolor	71598.3724287999
PI533921	PI533921_PI533921	-38562.6449486	2972	5%	-6.041992	Chr05	miss50	Bicolor	38562.6449486
PI533921	PI533921_PI533921	-8788.0913109	586	1%	-7.2558594	Chr05	miss50	Bicolor	8788.0913109
PI533921	PI533921_PI533921	-229295.8538441	22872	25%	-3.9614258	Chr06	miss50	Bicolor	229295.8538441
PI533921	PI533921_PI533921	-108833.6199164	9217	10%	-5.501953	Chr06	miss50	Bicolor	108833.6199164
PI533921	PI533921_PI533921	-59284.6551474001	4642	5%	-6.201172	Chr06	miss50	Bicolor	59284.6551474001
PI533921	PI533921_PI533921	-13001.3947748	890	1%	-7.3916016	Chr06	miss50	Bicolor	13001.3947748
PI533921	PI533921_PI533921	-197719.2039829	20318	25%	-3.703674325	Chr07	miss50	Bicolor	197719.2039829
PI533921	PI533921_PI533921	-97236.8980331999	8321	10%	-5.3376465	Chr07	miss50	Bicolor	97236.8980331999
PI533921	PI533921_PI533921	-52680.2745267	4137	5%	-6.0955322	Chr07	miss50	Bicolor	52680.2745267
PI533921	PI533921_PI533921	-12051.02271	822	1%	-7.3183594	Chr07	miss50	Bicolor	12051.02271
PI533921	PI533921_PI533921	-152675.5390734	14858	25%	-3.9101562	Chr08	miss50	Bicolor	152675.5390734
PI533921	PI533921_PI533921	-74788.2182314001	6130	10%	-5.44519045	Chr08	miss50	Bicolor	74788.2182314001
PI533921	PI533921_PI533921	-40854.0015873	3084	5%	-6.154297	Chr08	miss50	Bicolor	40854.0015873
PI533921	PI533921_PI533921	-9566.166989	624	1%	-7.34375	Chr08	miss50	Bicolor	9566.166989
PI533921	PI533921_PI533921	-113987.7284901	11438	25%	-3.75	Chr09	miss50	Bicolor	113987.7284901
PI533921	PI533921_PI533921	-53830.9189610999	4491	10%	-5.33116459	Chr09	miss50	Bicolor	53830.9189610999
PI533921	PI533921_PI533921	-29262.2039042	2241	5%	-6.0703125	Chr09	miss50	Bicolor	29262.2039042
PI533921	PI533921_PI533921	-7179.4653226	483	1%	-7.2578125	Chr09	miss50	Bicolor	7179.4653226
PI533921	PI533921_PI533921	-163009.3162142	16085	25%	-3.803711	Chr10	miss50	Bicolor	163009.3162142
PI533921	PI533921_PI533921	-76853.6593613001	6330	10%	-5.375	Chr10	miss50	Bicolor	76853.6593613001
PI533921	PI533921_PI533921	-40528.8525046	3067	5%	-6.1035156	Chr10	miss50	Bicolor	40528.8525046
PI533921	PI533921_PI533921	-8883.2590067	582	1%	-7.2773438	Chr10	miss50	Bicolor	8883.2590067
PI533924	PI533924_PI533924	-152865.9222929	15921	25%	-3.4990234	Chr01	miss50	Caudatum	152865.9222929
PI533924	PI533924_PI533924	-73868.9509866001	6316	10%	-5.1816406	Chr01	miss50	Caudatum	73868.9509866001
PI533924	PI533924_PI533924	-39621.1298239	3098	5%	-5.9814453	Chr01	miss50	Caudatum	39621.1298239
PI533924	PI533924_PI533924	-9126.4350512	614	1%	-7.209961	Chr01	miss50	Caudatum	9126.4350512
PI533924	PI533924_PI533924	-68434.6946327	7690	25%	-3.3007812	Chr02	miss50	Caudatum	68434.6946327
PI533924	PI533924_PI533924	-28726.9129072	2551	10%	-4.9757812	Chr02	miss50	Caudatum	28726.9129072
PI533924	PI533924_PI533924	-15072.0450439	1207	5%	-5.8046875	Chr02	miss50	Caudatum	15072.0450439
PI533924	PI533924_PI533924	-3248.3815878	223	1%	-7.1015625	Chr02	miss50	Caudatum	3248.3815878
PI533924	PI533924_PI533924	-87906.1936623999	9920	25%	-3.1981201	Chr03	miss50	Caudatum	87906.1936623999
PI533924	PI533924_PI533924	-39908.7524132999	3562	10%	-4.8928223	Chr03	miss50	Caudatum	39908.7524132999
PI533924	PI533924_PI533924	-21224.674141	1716	5%	-5.73617855	Chr03	miss50	Caudatum	21224.674141
PI533924	PI533924_PI533924	-4832.7324216	333	1%	-7.045371144	Chr03	miss50	Caudatum	4832.7324216
PI533924	PI533924_PI533924	-141423.7175315	14028	25%	-3.8300781	Chr04	miss50	Caudatum	141423.7175315
PI533924	PI533924_PI533924	-67178.4886741001	5587	10%	-5.4033203	Chr04	miss50	Caudatum	67178.4886741001
PI533924	PI533924_PI533924	-35937.2872328	2753	5%	-6.12265628	Chr04	miss50	Caudatum	35937.2872328
PI533924	PI533924_PI533924	-7991.2290017	525	1%	-7.2910156	Chr04	miss50	Caudatum	7991.2290017
PI533924	PI533924_PI533924	-254696.7967222	25511	25%	-3.6359863	Chr05	miss50	Caudatum	254696.7967222
PI533924	PI533924_PI533924	-127776.5218444	10643	10%	-5.276367	Chr05	miss50	Caudatum	127776.5218444
PI533924	PI533924_PI533924	-70161.8622332001	5350	5%	-6.041992	Chr05	miss50	Caudatum	70161.8622332001
PI533924	PI533924_PI533924	-16041.105937	1061	1%	-7.2558594	Chr05	miss50	Caudatum	16041.105937
PI533924	PI533924_PI533924	-27144.0415269	2687	25%	-3.9614258	Chr06	miss50	Caudatum	27144.0415269
PI533924	PI533924_PI533924	-10988.2124637	893	10%	-5.501953	Chr06	miss50	Caudatum	10988.2124637
PI533924	PI533924_PI533924	-5855.3980663	433	5%	-6.201172	Chr06	miss50	Caudatum	5855.3980663
PI533924	PI533924_PI533924	-1312.4238291	84	1%	-7.3916016	Chr06	miss50	Caudatum	1312.4238291
PI533924	PI533924_PI533924	-73754.9628688	7582	25%	-3.703674325	Chr07	miss50	Caudatum	73754.9628688
PI533924	PI533924_PI533924	-33782.2752837	2839	10%	-5.3376465	Chr07	miss50	Caudatum	33782.2752837
PI533924	PI533924_PI533924	-18503.3455933	1427	5%	-6.0955322	Chr07	miss50	Caudatum	18503.3455933
PI533924	PI533924_PI533924	-4036.7392595	266	1%	-7.3183594	Chr07	miss50	Caudatum	4036.7392595
PI533924	PI533924_PI533924	-185667.5443759	18227	25%	-3.9101562	Chr08	miss50	Caudatum	185667.5443759
PI533924	PI533924_PI533924	-89230.9183992999	7355	10%	-5.44519045	Chr08	miss50	Caudatum	89230.9183992999
PI533924	PI533924_PI533924	-49309.9240627	3743	5%	-6.154297	Chr08	miss50	Caudatum	49309.9240627
PI533924	PI533924_PI533924	-11256.8818219	742	1%	-7.34375	Chr08	miss50	Caudatum	11256.8818219
PI533924	PI533924_PI533924	-135532.2797031	13460	25%	-3.75	Chr09	miss50	Caudatum	135532.2797031
PI533924	PI533924_PI533924	-65741.4058161999	5447	10%	-5.33116459	Chr09	miss50	Caudatum	65741.4058161999
PI533924	PI533924_PI533924	-35456.0959996999	2695	5%	-6.0703125	Chr09	miss50	Caudatum	35456.0959996999
PI533924	PI533924_PI533924	-8202.8486224	539	1%	-7.2578125	Chr09	miss50	Caudatum	8202.8486224
PI533924	PI533924_PI533924	-106905.385398	10639	25%	-3.803711	Chr10	miss50	Caudatum	106905.385398
PI533924	PI533924_PI533924	-50584.5784024	4188	10%	-5.375	Chr10	miss50	Caudatum	50584.5784024
PI533924	PI533924_PI533924	-27330.6541519	2083	5%	-6.1035156	Chr10	miss50	Caudatum	27330.6541519
PI533924	PI533924_PI533924	-6166.9140665	409	1%	-7.2773438	Chr10	miss50	Caudatum	6166.9140665
PI533927	PI533927_PI533927	-145906.1754003	14940	25%	-3.4990234	Chr01	miss50	Caudatum	145906.1754003
PI533927	PI533927_PI533927	-69143.6240788	5741	10%	-5.1816406	Chr01	miss50	Caudatum	69143.6240788
PI533927	PI533927_PI533927	-38019.8897765	2883	5%	-5.9814453	Chr01	miss50	Caudatum	38019.8897765
PI533927	PI533927_PI533927	-8765.1650356	573	1%	-7.209961	Chr01	miss50	Caudatum	8765.1650356
PI533927	PI533927_PI533927	-132999.6576365	14660	25%	-3.3007812	Chr02	miss50	Caudatum	132999.6576365
PI533927	PI533927_PI533927	-64257.1486643002	5740	10%	-4.9757812	Chr02	miss50	Caudatum	64257.1486643002
PI533927	PI533927_PI533927	-34590.9940126	2795	5%	-5.8046875	Chr02	miss50	Caudatum	34590.9940126
PI533927	PI533927_PI533927	-7964.76585930001	543	1%	-7.1015625	Chr02	miss50	Caudatum	7964.76585930001
PI533927	PI533927_PI533927	-108072.9469443	11995	25%	-3.1981201	Chr03	miss50	Caudatum	108072.9469443
PI533927	PI533927_PI533927	-51134.7799066	4532	10%	-4.8928223	Chr03	miss50	Caudatum	51134.7799066
PI533927	PI533927_PI533927	-28020.575325	2253	5%	-5.73617855	Chr03	miss50	Caudatum	28020.575325
PI533927	PI533927_PI533927	-6108.1997139	413	1%	-7.045371144	Chr03	miss50	Caudatum	6108.1997139
PI533927	PI533927_PI533927	-183251.5129608	17927	25%	-3.8300781	Chr04	miss50	Caudatum	183251.5129608
PI533927	PI533927_PI533927	-88164.5546641001	7227	10%	-5.4033203	Chr04	miss50	Caudatum	88164.5546641001
PI533927	PI533927_PI533927	-47576.2979854	3583	5%	-6.12265628	Chr04	miss50	Caudatum	47576.2979854
PI533927	PI533927_PI533927	-11031.4565523	717	1%	-7.2910156	Chr04	miss50	Caudatum	11031.4565523
PI533927	PI533927_PI533927	-110542.0365472	11278	25%	-3.6359863	Chr05	miss50	Caudatum	110542.0365472
PI533927	PI533927_PI533927	-51186.8842043	4287	10%	-5.276367	Chr05	miss50	Caudatum	51186.8842043
PI533927	PI533927_PI533927	-27648.2235574	2119	5%	-6.041992	Chr05	miss50	Caudatum	27648.2235574
PI533927	PI533927_PI533927	-5799.3676748	380	1%	-7.2558594	Chr05	miss50	Caudatum	5799.3676748
PI533927	PI533927_PI533927	-22943.6432123	2315	25%	-3.9614258	Chr06	miss50	Caudatum	22943.6432123
PI533927	PI533927_PI533927	-9245.58043559999	767	10%	-5.501953	Chr06	miss50	Caudatum	9245.58043559999
PI533927	PI533927_PI533927	-4918.232656	373	5%	-6.201172	Chr06	miss50	Caudatum	4918.232656
PI533927	PI533927_PI533927	-1249.0678659	80	1%	-7.3916016	Chr06	miss50	Caudatum	1249.0678659
PI533927	PI533927_PI533927	-70202.1726217999	7217	25%	-3.703674325	Chr07	miss50	Caudatum	70202.1726217999
PI533927	PI533927_PI533927	-32397.4420601	2735	10%	-5.3376465	Chr07	miss50	Caudatum	32397.4420601
PI533927	PI533927_PI533927	-17628.938113	1371	5%	-6.0955322	Chr07	miss50	Caudatum	17628.938113
PI533927	PI533927_PI533927	-4086.8066382	269	1%	-7.3183594	Chr07	miss50	Caudatum	4086.8066382
PI533927	PI533927_PI533927	-189264.4930457	18658	25%	-3.9101562	Chr08	miss50	Caudatum	189264.4930457
PI533927	PI533927_PI533927	-90365.3525460999	7501	10%	-5.44519045	Chr08	miss50	Caudatum	90365.3525460999
PI533927	PI533927_PI533927	-49748.6881604	3810	5%	-6.154297	Chr08	miss50	Caudatum	49748.6881604
PI533927	PI533927_PI533927	-11335.6730781	747	1%	-7.34375	Chr08	miss50	Caudatum	11335.6730781
PI533927	PI533927_PI533927	-136042.2988887	13569	25%	-3.75	Chr09	miss50	Caudatum	136042.2988887
PI533927	PI533927_PI533927	-66188.5969971999	5501	10%	-5.33116459	Chr09	miss50	Caudatum	66188.5969971999
PI533927	PI533927_PI533927	-35531.9904042999	2707	5%	-6.0703125	Chr09	miss50	Caudatum	35531.9904042999
PI533927	PI533927_PI533927	-8231.3701031	541	1%	-7.2578125	Chr09	miss50	Caudatum	8231.3701031
PI533927	PI533927_PI533927	-176266.0027313	17537	25%	-3.803711	Chr10	miss50	Caudatum	176266.0027313
PI533927	PI533927_PI533927	-85869.1204641003	7143	10%	-5.375	Chr10	miss50	Caudatum	85869.1204641003
PI533927	PI533927_PI533927	-46515.9696362	3558	5%	-6.1035156	Chr10	miss50	Caudatum	46515.9696362
PI533927	PI533927_PI533927	-10509.5468912	688	1%	-7.2773438	Chr10	miss50	Caudatum	10509.5468912
PI533936	PI533936_PI533936	-152398.3789302	15430	25%	-3.4990234	Chr01	miss50	Durra	152398.3789302
PI533936	PI533936_PI533936	-72779.7297272	5994	10%	-5.1816406	Chr01	miss50	Durra	72779.7297272
PI533936	PI533936_PI533936	-39565.5708102	2975	5%	-5.9814453	Chr01	miss50	Durra	39565.5708102
PI533936	PI533936_PI533936	-8896.8806176	576	1%	-7.209961	Chr01	miss50	Durra	8896.8806176
PI533936	PI533936_PI533936	-84965.7849979	9101	25%	-3.3007812	Chr02	miss50	Durra	84965.7849979
PI533936	PI533936_PI533936	-37956.2944902	3224	10%	-4.9757812	Chr02	miss50	Durra	37956.2944902
PI533936	PI533936_PI533936	-20681.8627885	1586	5%	-5.8046875	Chr02	miss50	Durra	20681.8627885
PI533936	PI533936_PI533936	-4833.7033645	317	1%	-7.1015625	Chr02	miss50	Durra	4833.7033645
PI533936	PI533936_PI533936	-74722.6568451998	8149	25%	-3.1981201	Chr03	miss50	Durra	74722.6568451998
PI533936	PI533936_PI533936	-33893.9743625	2900	10%	-4.8928223	Chr03	miss50	Durra	33893.9743625
PI533936	PI533936_PI533936	-18592.6074239	1439	5%	-5.73617855	Chr03	miss50	Durra	18592.6074239
PI533936	PI533936_PI533936	-4171.3798862	274	1%	-7.045371144	Chr03	miss50	Durra	4171.3798862
PI533936	PI533936_PI533936	-205102.119278301	20035	25%	-3.8300781	Chr04	miss50	Durra	205102.119278301
PI533936	PI533936_PI533936	-97792.1150857001	7976	10%	-5.4033203	Chr04	miss50	Durra	97792.1150857001
PI533936	PI533936_PI533936	-53248.7589809	3998	5%	-6.12265628	Chr04	miss50	Durra	53248.7589809
PI533936	PI533936_PI533936	-12431.4794923	813	1%	-7.2910156	Chr04	miss50	Durra	12431.4794923
PI533936	PI533936_PI533936	-280368.074141399	27752	25%	-3.6359863	Chr05	miss50	Durra	280368.074141399
PI533936	PI533936_PI533936	-139734.6922761	11472	10%	-5.276367	Chr05	miss50	Durra	139734.6922761
PI533936	PI533936_PI533936	-76998.1968165001	5805	5%	-6.041992	Chr05	miss50	Durra	76998.1968165001
PI533936	PI533936_PI533936	-17399.8930492	1131	1%	-7.2558594	Chr05	miss50	Durra	17399.8930492
PI533936	PI533936_PI533936	-34234.6252104	3369	25%	-3.9614258	Chr06	miss50	Durra	34234.6252104
PI533936	PI533936_PI533936	-13688.02871	1104	10%	-5.501953	Chr06	miss50	Durra	13688.02871
PI533936	PI533936_PI533936	-7273.3517971	542	5%	-6.201172	Chr06	miss50	Durra	7273.3517971
PI533936	PI533936_PI533936	-1669.6333036	108	1%	-7.3916016	Chr06	miss50	Durra	1669.6333036
PI533936	PI533936_PI533936	-32957.3635321	3311	25%	-3.703674325	Chr07	miss50	Durra	32957.3635321
PI533936	PI533936_PI533936	-14342.3885444	1170	10%	-5.3376465	Chr07	miss50	Durra	14342.3885444
PI533936	PI533936_PI533936	-7694.23729810001	573	5%	-6.0955322	Chr07	miss50	Durra	7694.23729810001
PI533936	PI533936_PI533936	-1904.9892522	121	1%	-7.3183594	Chr07	miss50	Durra	1904.9892522
PI533936	PI533936_PI533936	-117647.747766	11232	25%	-3.9101562	Chr08	miss50	Durra	117647.747766
PI533936	PI533936_PI533936	-54029.4157174	4314	10%	-5.44519045	Chr08	miss50	Durra	54029.4157174
PI533936	PI533936_PI533936	-28810.2901701	2118	5%	-6.154297	Chr08	miss50	Durra	28810.2901701
PI533936	PI533936_PI533936	-6015.2089848	379	1%	-7.34375	Chr08	miss50	Durra	6015.2089848
PI533936	PI533936_PI533936	-125890.1101958	12438	25%	-3.75	Chr09	miss50	Durra	125890.1101958
PI533936	PI533936_PI533936	-59132.9889653999	4844	10%	-5.33116459	Chr09	miss50	Durra	59132.9889653999
PI533936	PI533936_PI533936	-31834.5811632	2387	5%	-6.0703125	Chr09	miss50	Durra	31834.5811632
PI533936	PI533936_PI533936	-7601.7109291	492	1%	-7.2578125	Chr09	miss50	Durra	7601.7109291
PI533936	PI533936_PI533936	-167909.5951001	16443	25%	-3.803711	Chr10	miss50	Durra	167909.5951001
PI533936	PI533936_PI533936	-80184.8030141001	6568	10%	-5.375	Chr10	miss50	Durra	80184.8030141001
PI533936	PI533936_PI533936	-43648.0422496001	3296	5%	-6.1035156	Chr10	miss50	Durra	43648.0422496001
PI533936	PI533936_PI533936	-9535.1523446	627	1%	-7.2773438	Chr10	miss50	Durra	9535.1523446
PI533937	PI533937_PI533937	-152915.8700184	15488	25%	-3.4990234	Chr01	miss50	Durra	152915.8700184
PI533937	PI533937_PI533937	-73366.7612796999	6032	10%	-5.1816406	Chr01	miss50	Durra	73366.7612796999
PI533937	PI533937_PI533937	-39937.9178482	2993	5%	-5.9814453	Chr01	miss50	Durra	39937.9178482
PI533937	PI533937_PI533937	-9017.4794915	579	1%	-7.209961	Chr01	miss50	Durra	9017.4794915
PI533937	PI533937_PI533937	-85837.4511795002	9251	25%	-3.3007812	Chr02	miss50	Durra	85837.4511795002
PI533937	PI533937_PI533937	-38333.7554039	3274	10%	-4.9757812	Chr02	miss50	Durra	38333.7554039
PI533937	PI533937_PI533937	-20892.2437655	1613	5%	-5.8046875	Chr02	miss50	Durra	20892.2437655
PI533937	PI533937_PI533937	-5092.4406664	335	1%	-7.1015625	Chr02	miss50	Durra	5092.4406664
PI533937	PI533937_PI533937	-73283.2289268998	8039	25%	-3.1981201	Chr03	miss50	Durra	73283.2289268998
PI533937	PI533937_PI533937	-33203.0584025	2867	10%	-4.8928223	Chr03	miss50	Durra	33203.0584025
PI533937	PI533937_PI533937	-18355.2616461	1434	5%	-5.73617855	Chr03	miss50	Durra	18355.2616461
PI533937	PI533937_PI533937	-4301.6069307	283	1%	-7.045371144	Chr03	miss50	Durra	4301.6069307
PI533937	PI533937_PI533937	-204576.150804701	19955	25%	-3.8300781	Chr04	miss50	Durra	204576.150804701
PI533937	PI533937_PI533937	-97216.7091510001	7919	10%	-5.4033203	Chr04	miss50	Durra	97216.7091510001
PI533937	PI533937_PI533937	-52656.3424795001	3934	5%	-6.12265628	Chr04	miss50	Durra	52656.3424795001
PI533937	PI533937_PI533937	-11927.3427735	778	1%	-7.2910156	Chr04	miss50	Durra	11927.3427735
PI533937	PI533937_PI533937	-276637.312887199	27446	25%	-3.6359863	Chr05	miss50	Durra	276637.312887199
PI533937	PI533937_PI533937	-137617.3176488	11324	10%	-5.276367	Chr05	miss50	Durra	137617.3176488
PI533937	PI533937_PI533937	-75518.7774433001	5701	5%	-6.041992	Chr05	miss50	Durra	75518.7774433001
PI533937	PI533937_PI533937	-17159.0024246	1128	1%	-7.2558594	Chr05	miss50	Durra	17159.0024246
PI533937	PI533937_PI533937	-30183.7132682	2948	25%	-3.9614258	Chr06	miss50	Durra	30183.7132682
PI533937	PI533937_PI533937	-12575.7546615	1009	10%	-5.501953	Chr06	miss50	Durra	12575.7546615
PI533937	PI533937_PI533937	-6826.8583889	504	5%	-6.201172	Chr06	miss50	Durra	6826.8583889
PI533937	PI533937_PI533937	-1866.3168946	119	1%	-7.3916016	Chr06	miss50	Durra	1866.3168946
PI533937	PI533937_PI533937	-33398.1473632	3358	25%	-3.703674325	Chr07	miss50	Durra	33398.1473632
PI533937	PI533937_PI533937	-14467.9771741	1170	10%	-5.3376465	Chr07	miss50	Durra	14467.9771741
PI533937	PI533937_PI533937	-7844.06798890001	579	5%	-6.0955322	Chr07	miss50	Durra	7844.06798890001
PI533937	PI533937_PI533937	-2035.8662068	127	1%	-7.3183594	Chr07	miss50	Durra	2035.8662068
PI533937	PI533937_PI533937	-115562.0908136	11038	25%	-3.9101562	Chr08	miss50	Durra	115562.0908136
PI533937	PI533937_PI533937	-53083.3219014	4241	10%	-5.44519045	Chr08	miss50	Durra	53083.3219014
PI533937	PI533937_PI533937	-28319.9337201	2084	5%	-6.154297	Chr08	miss50	Durra	28319.9337201
PI533937	PI533937_PI533937	-5786.3134748	366	1%	-7.34375	Chr08	miss50	Durra	5786.3134748
PI533937	PI533937_PI533937	-154939.0829892	15111	25%	-3.75	Chr09	miss50	Durra	154939.0829892
PI533937	PI533937_PI533937	-75917.1346778	6195	10%	-5.33116459	Chr09	miss50	Durra	75917.1346778
PI533937	PI533937_PI533937	-41249.9909044	3092	5%	-6.0703125	Chr09	miss50	Durra	41249.9909044
PI533937	PI533937_PI533937	-9140.86913770001	594	1%	-7.2578125	Chr09	miss50	Durra	9140.86913770001
PI533937	PI533937_PI533937	-168802.4186808	16679	25%	-3.803711	Chr10	miss50	Durra	168802.4186808
PI533937	PI533937_PI533937	-79695.0121079001	6584	10%	-5.375	Chr10	miss50	Durra	79695.0121079001
PI533937	PI533937_PI533937	-43015.0997378001	3274	5%	-6.1035156	Chr10	miss50	Durra	43015.0997378001
PI533937	PI533937_PI533937	-9672.4628914	640	1%	-7.2773438	Chr10	miss50	Durra	9672.4628914
PI533938	PI533938_PI533938	-170604.1250941	17798	25%	-3.4990234	Chr01	miss50	Durra	170604.1250941
PI533938	PI533938_PI533938	-83080.9339605001	7100	10%	-5.1816406	Chr01	miss50	Durra	83080.9339605001
PI533938	PI533938_PI533938	-44618.8479697001	3471	5%	-5.9814453	Chr01	miss50	Durra	44618.8479697001
PI533938	PI533938_PI533938	-9646.7990682	644	1%	-7.209961	Chr01	miss50	Durra	9646.7990682
PI533938	PI533938_PI533938	-94564.5300138001	10239	25%	-3.3007812	Chr02	miss50	Durra	94564.5300138001
PI533938	PI533938_PI533938	-43164.6035903	3725	10%	-4.9757812	Chr02	miss50	Durra	43164.6035903
PI533938	PI533938_PI533938	-22776.7352208	1778	5%	-5.8046875	Chr02	miss50	Durra	22776.7352208
PI533938	PI533938_PI533938	-5229.4091764	348	1%	-7.1015625	Chr02	miss50	Durra	5229.4091764
PI533938	PI533938_PI533938	-200651.510149201	21668	25%	-3.1981201	Chr03	miss50	Durra	200651.510149201
PI533938	PI533938_PI533938	-105190.9493279	9248	10%	-4.8928223	Chr03	miss50	Durra	105190.9493279
PI533938	PI533938_PI533938	-58655.4967140001	4682	5%	-5.73617855	Chr03	miss50	Durra	58655.4967140001
PI533938	PI533938_PI533938	-13919.8660333	941	1%	-7.045371144	Chr03	miss50	Durra	13919.8660333
PI533938	PI533938_PI533938	-176222.9174894	17337	25%	-3.8300781	Chr04	miss50	Durra	176222.9174894
PI533938	PI533938_PI533938	-84529.9205623	6956	10%	-5.4033203	Chr04	miss50	Durra	84529.9205623
PI533938	PI533938_PI533938	-45390.7265665	3446	5%	-6.12265628	Chr04	miss50	Durra	45390.7265665
PI533938	PI533938_PI533938	-10481.9643617	693	1%	-7.2910156	Chr04	miss50	Durra	10481.9643617
PI533938	PI533938_PI533938	-80787.3284629001	8384	25%	-3.6359863	Chr05	miss50	Durra	80787.3284629001
PI533938	PI533938_PI533938	-36457.0881787	3088	10%	-5.276367	Chr05	miss50	Durra	36457.0881787
PI533938	PI533938_PI533938	-19860.1321874	1531	5%	-6.041992	Chr05	miss50	Durra	19860.1321874
PI533938	PI533938_PI533938	-4764.6113249	311	1%	-7.2558594	Chr05	miss50	Durra	4764.6113249
PI533938	PI533938_PI533938	-25066.7836351	2564	25%	-3.9614258	Chr06	miss50	Durra	25066.7836351
PI533938	PI533938_PI533938	-9783.3474109	827	10%	-5.501953	Chr06	miss50	Durra	9783.3474109
PI533938	PI533938_PI533938	-5116.3046839	401	5%	-6.201172	Chr06	miss50	Durra	5116.3046839
PI533938	PI533938_PI533938	-1262.4335902	84	1%	-7.3916016	Chr06	miss50	Durra	1262.4335902
PI533938	PI533938_PI533938	-45055.9417604001	4607	25%	-3.703674325	Chr07	miss50	Durra	45055.9417604001
PI533938	PI533938_PI533938	-20469.4596675001	1713	10%	-5.3376465	Chr07	miss50	Durra	20469.4596675001
PI533938	PI533938_PI533938	-11046.7530687	845	5%	-6.0955322	Chr07	miss50	Durra	11046.7530687
PI533938	PI533938_PI533938	-2617.6884787	171	1%	-7.3183594	Chr07	miss50	Durra	2617.6884787
PI533938	PI533938_PI533938	-125671.9011024	12122	25%	-3.9101562	Chr08	miss50	Durra	125671.9011024
PI533938	PI533938_PI533938	-57662.5898506	4647	10%	-5.44519045	Chr08	miss50	Durra	57662.5898506
PI533938	PI533938_PI533938	-30408.1262302	2258	5%	-6.154297	Chr08	miss50	Durra	30408.1262302
PI533938	PI533938_PI533938	-6158.587401	393	1%	-7.34375	Chr08	miss50	Durra	6158.587401
PI533938	PI533938_PI533938	-156660.1469396	15540	25%	-3.75	Chr09	miss50	Durra	156660.1469396
PI533938	PI533938_PI533938	-75586.415795	6259	10%	-5.33116459	Chr09	miss50	Durra	75586.415795
PI533938	PI533938_PI533938	-41100.9117949	3123	5%	-6.0703125	Chr09	miss50	Durra	41100.9117949
PI533938	PI533938_PI533938	-9251.3395936	610	1%	-7.2578125	Chr09	miss50	Durra	9251.3395936
