gene_id	selection_region	gene_region	selection_Description	neglog10p	fst	gwas_pvalue	gwas_trait	gwas_condition	gwas_peak_pos	overlap_rows	rank_score	recommendation_note
Sobic.008G133700	Chr8:59135001-59190000	Chr8:59187970-59193609	Myb-like DNA-binding domain	5.05354773498693	0.275247	8.84e-06	X2020.LN.branchInternodeLengt	LN	59220567	1	-0.883	lower priority
Sobic.004G006000	Chr4:540001-595000	Chr4:563665-569673	-	5.1681302257195	0.273295	6.79e-06	X2021.LN.stemDiameterLowe	LN	596281	1	-0.902	lower priority
Sobic.004G006100	Chr4:540001-595000	Chr4:569695-575655	Belongs to the cytochrome P450 family	5.1681302257195	0.273295	6.79e-06	X2021.LN.stemDiameterLowe	LN	596281	1	-0.902	lower priority
Sobic.004G006200	Chr4:540001-595000	Chr4:571929-582139	Catalyzes the ferrous insertion into protoporphyrin IX	5.1681302257195	0.273295	6.79e-06	X2021.LN.stemDiameterLowe	LN	596281	1	-0.902	lower priority
Sobic.004G006300	Chr4:540001-595000	Chr4:579758-586217	Belongs to the TCTP family	5.1681302257195	0.273295	6.79e-06	X2021.LN.stemDiameterLowe	LN	596281	1	-0.902	lower priority
Sobic.004G006400	Chr4:540001-595000	Chr4:584976-592161	Cytochrome P450	5.1681302257195	0.273295	6.79e-06	X2021.LN.stemDiameterLowe	LN	596281	1	-0.902	lower priority
Sobic.004G006500	Chr4:540001-595000	Chr4:592123-597861	Protein BYPASS1-related	5.1681302257195	0.273295	6.79e-06	X2021.LN.stemDiameterLowe	LN	596281	1	-0.902	lower priority
Sobic.001G235500	Chr1:23925001-23980000	Chr1:23932659-23938763	Belongs to the cytochrome P450 family	5.08565684288056	0.273849	8.21e-06	X2021.HN.stemDiameterLowe	HN	23952650	1	-0.911	lower priority
Sobic.001G235700	Chr1:23925001-23980000	Chr1:23954602-23966217	Translin family	5.08565684288056	0.273849	8.21e-06	X2021.HN.stemDiameterLowe	HN	23952650	1	-0.911	lower priority
Sobic.001G235800	Chr1:23925001-23980000	Chr1:23964832-23970435	Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily	5.08565684288056	0.273849	8.21e-06	X2021.HN.stemDiameterLowe	HN	23952650	1	-0.911	lower priority
Sobic.001G235900	Chr1:23925001-23980000	Chr1:23976697-23996950	ABC transporter	5.08565684288056	0.273849	8.21e-06	X2021.HN.stemDiameterLowe	HN	23952650	1	-0.911	lower priority
Sobic.006G125900	Chr6:50510001-50595000	Chr6:50524878-50534717	Catalytic histone acetyltransferase subunit of the RNA polymerase II elongator complex, which is a component of the RNA polymerase II (Pol II) holoenzyme and is involved in transcriptional elongation	5.42136079003193	0.269898	3.79e-06	X2021.HN.percentStarc	HN	50544282	1	-0.917	lower priority
Sobic.006G126000	Chr6:50510001-50595000	Chr6:50529481-50536328	26S proteasome subunit RPN7	5.42136079003193	0.269898	3.79e-06	X2021.HN.percentStarc	HN	50544282	1	-0.917	lower priority
Sobic.006G126100	Chr6:50510001-50595000	Chr6:50531825-50541450	The B regulatory subunit might modulate substrate selectivity and catalytic activity, and also might direct the localization of the catalytic enzyme to a particular subcellular compartment	5.42136079003193	0.269898	3.79e-06	X2021.HN.percentStarc	HN	50544282	1	-0.917	lower priority
Sobic.006G126200	Chr6:50510001-50595000	Chr6:50551550-50562609	UBX domain	5.42136079003193	0.269898	3.79e-06	X2021.HN.percentStarc	HN	50544282	1	-0.917	lower priority
Sobic.006G126300	Chr6:50510001-50595000	Chr6:50563447-50574349	Catalyzes the rate-limiting step of the oxidative pentose-phosphate pathway, which represents a route for the dissimilation of carbohydrates besides glycolysis	5.42136079003193	0.269898	3.79e-06	X2021.HN.percentStarc	HN	50544282	1	-0.917	lower priority
Sobic.006G126400	Chr6:50510001-50595000	Chr6:50570993-50578131	YqaJ-like viral recombinase domain	5.42136079003193	0.269898	3.79e-06	X2021.HN.percentStarc	HN	50544282	1	-0.917	lower priority
Sobic.006G126500	Chr6:50510001-50595000	Chr6:50575324-50583336	F-Box protein	5.42136079003193	0.269898	3.79e-06	X2021.HN.percentStarc	HN	50544282	1	-0.917	lower priority
Sobic.003G418200	Chr3:78790001-78845000	Chr3:78780772-78792043	Protein of unknown function, DUF255	5.0204516252959	0.272551	9.54e-06	X2021.HN.tillersPerPlan	HN	78761554	1	-0.965	lower priority
Sobic.003G418300	Chr3:78790001-78845000	Chr3:78788783-78795777	Protein kinase domain	5.0204516252959	0.272551	9.54e-06	X2021.HN.tillersPerPlan	HN	78761554	1	-0.965	lower priority
Sobic.003G418400	Chr3:78790001-78845000	Chr3:78797589-78802117	-	5.0204516252959	0.272551	9.54e-06	X2021.HN.tillersPerPlan	HN	78761554	1	-0.965	lower priority
Sobic.009G204633	Chr9:59085001-59140000	Chr9:59112999-59123212	Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis	5.77469071827414	0.262143	1.68e-06	X2021.HN.tillersPerPlan	HN	59162456	1	-1.019	lower priority
Sobic.009G204700	Chr9:59085001-59140000	Chr9:59118503-59127379	receptor-like serine threonine-protein kinase	5.77469071827414	0.262143	1.68e-06	X2021.HN.tillersPerPlan	HN	59162456	1	-1.019	lower priority
Sobic.009G204800	Chr9:59085001-59140000	Chr9:59136910-59145756	Carbohydrate-binding protein of the ER	5.77469071827414	0.262143	1.68e-06	X2021.HN.tillersPerPlan	HN	59162456	1	-1.019	lower priority
Sobic.007G162300	Chr7:63010001-63055000	Chr7:63003503-63010423	Glutaredoxin	6.23210238398191	0.256285	5.86e-07	X2020.HN.percentOi;X2020.LN.stemDiameterLowe	HN;LN	62968810;62978334	2	-1.04	lower priority
Sobic.007G162400	Chr7:63010001-63055000	Chr7:63009653-63016240	ABC-2 type transporter	6.23210238398191	0.256285	5.86e-07	X2020.HN.percentOi;X2020.LN.stemDiameterLowe	HN;LN	62968810;62978334	2	-1.04	lower priority
Sobic.007G162500	Chr7:63010001-63055000	Chr7:63016940-63025571	Pre-SET motif	6.23210238398191	0.256285	5.86e-07	X2020.LN.stemDiameterLowe	LN	62978334	1	-1.04	lower priority
Sobic.007G162600	Chr7:63010001-63055000	Chr7:63023824-63033084	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit N-term	6.23210238398191	0.256285	5.86e-07	X2020.LN.stemDiameterLowe	LN	62978334	1	-1.04	lower priority
Sobic.007G162700	Chr7:63010001-63055000	Chr7:63038127-63043932	DNA-binding domain in plant proteins such as APETALA2 and EREBPs	6.23210238398191	0.256285	5.86e-07	X2020.LN.stemDiameterLowe	LN	62978334	1	-1.04	lower priority
Sobic.007G162800	Chr7:63010001-63055000	Chr7:63046551-63054202	mediator of RNA polymerase II transcription subunit	6.23210238398191	0.256285	5.86e-07	X2020.LN.stemDiameterLowe	LN	62978334	1	-1.04	lower priority
Sobic.007G162901	Chr7:63010001-63055000	Chr7:63054611-63068019	mediator of RNA polymerase II transcription subunit	6.23210238398191	0.256285	5.86e-07	X2020.LN.stemDiameterLowe	LN	62978334	1	-1.04	lower priority
Sobic.004G019200	Chr4:1580001-1630000	Chr4:1562384-1585448	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	5.20690839982342	0.267074	6.21e-06	X2020.HN.extantLeafNumbe;X2020.HN.tillersPerPlan	HN	1565428;1574982	2	-1.056	lower priority
Sobic.004G019300	Chr4:1580001-1630000	Chr4:1588209-1595093	Belongs to the terpene synthase family	5.20690839982342	0.267074	6.21e-06	X2020.HN.extantLeafNumbe;X2020.HN.tillersPerPlan	HN	1565428;1574982	2	-1.056	lower priority
Sobic.004G019400	Chr4:1580001-1630000	Chr4:1596436-1603841	Belongs to the terpene synthase family	5.20690839982342	0.267074	6.21e-06	X2020.HN.extantLeafNumbe;X2020.HN.tillersPerPlan	HN	1565428;1574982	2	-1.056	lower priority
Sobic.004G019500	Chr4:1580001-1630000	Chr4:1601260-1608469	PPR repeat	5.20690839982342	0.267074	6.21e-06	X2020.HN.extantLeafNumbe;X2020.HN.tillersPerPlan	HN	1565428;1574982	2	-1.056	lower priority
Sobic.004G019550	Chr4:1580001-1630000	Chr4:1604249-1610209	Belongs to the terpene synthase family	5.20690839982342	0.267074	6.21e-06	X2020.HN.extantLeafNumbe;X2020.HN.tillersPerPlan	HN	1565428;1574982	2	-1.056	lower priority
Sobic.004G019600	Chr4:1580001-1630000	Chr4:1606691-1615509	Sin3 associated polypeptide p18 (SAP18)	5.20690839982342	0.267074	6.21e-06	X2020.HN.tillersPerPlan	HN	1574982	1	-1.056	lower priority
Sobic.004G322300	Chr4:68240001-68290000	Chr4:68249499-68264696	Anaphase-promoting complex, cyclosome, subunit 4	6.72124639904717	0.249946	1.9e-07	X2020.HN.plantHeigh	HN	68311677	1	-1.065	lower priority
Sobic.004G322400	Chr4:68240001-68290000	Chr4:68260495-68274204	RIC1	6.72124639904717	0.249946	1.9e-07	X2020.HN.plantHeigh	HN	68311677	1	-1.065	lower priority
Sobic.004G322600	Chr4:68240001-68290000	Chr4:68287192-68297505	PB1 domain	6.72124639904717	0.249946	1.9e-07	X2020.HN.plantHeigh;X2021.HN.percentMoistur	HN	68311677;68334432	2	-1.065	lower priority
Sobic.003G348500	Chr3:73195001-73250000	Chr3:73239102-73244645	Amb_all	5.22841251911874	0.262556	5.91e-06	X2020.LN.paniclesPerPlo	LN	73283454	1	-1.169	lower priority
Sobic.003G348600	Chr3:73195001-73250000	Chr3:73241268-73247431	Serine aminopeptidase, S33	5.22841251911874	0.262556	5.91e-06	X2020.LN.paniclesPerPlo	LN	73283454	1	-1.169	lower priority
Sobic.003G348700	Chr3:73195001-73250000	Chr3:73244018-73251133	Serine aminopeptidase, S33	5.22841251911874	0.262556	5.91e-06	X2020.LN.paniclesPerPlo	LN	73283454	1	-1.169	lower priority
Sobic.003G348800	Chr3:73195001-73250000	Chr3:73249642-73258518	GDP-mannose 4,6 dehydratase	5.22841251911874	0.262556	5.91e-06	X2020.LN.paniclesPerPlo	LN	73283454	1	-1.169	lower priority
Sobic.003G049700	Chr3:4600001-4640000	Chr3:4591831-4601286	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	5.16621562534352	0.262577	6.82e-06	X2021.HN.stemDiameterLowe	HN	4625241	1	-1.187	lower priority
Sobic.003G049800	Chr3:4600001-4640000	Chr3:4608608-4615833	Alba	5.16621562534352	0.262577	6.82e-06	X2021.HN.stemDiameterLowe	HN	4625241	1	-1.187	lower priority
Sobic.003G050000	Chr3:4600001-4640000	Chr3:4612239-4617947	Protein of unknown function, DUF393	5.16621562534352	0.262577	6.82e-06	X2021.HN.stemDiameterLowe	HN	4625241	1	-1.187	lower priority
Sobic.003G050100	Chr3:4600001-4640000	Chr3:4613331-4620980	Glycosyl hydrolases family 28	5.16621562534352	0.262577	6.82e-06	X2021.HN.stemDiameterLowe	HN	4625241	1	-1.187	lower priority
Sobic.003G050200	Chr3:4600001-4640000	Chr3:4616537-4621827	Embryo-specific protein 3, (ATS3)	5.16621562534352	0.262577	6.82e-06	X2021.HN.stemDiameterLowe	HN	4625241	1	-1.187	lower priority
Sobic.003G050300	Chr3:4600001-4640000	Chr3:4618304-4624149	Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily	5.16621562534352	0.262577	6.82e-06	X2021.HN.stemDiameterLowe	HN	4625241	1	-1.187	lower priority
Sobic.003G050400	Chr3:4600001-4640000	Chr3:4624292-4635388	Hydrolyzes glycerol-phospholipids at the terminal phosphodiesteric bond	5.16621562534352	0.262577	6.82e-06	X2021.HN.stemDiameterLowe	HN	4625241	1	-1.187	lower priority
Sobic.003G050500	Chr3:4600001-4640000	Chr3:4634495-4639390	basic region leucin zipper	5.16621562534352	0.262577	6.82e-06	X2021.HN.stemDiameterLowe	HN	4625241	1	-1.187	lower priority
Sobic.003G050600	Chr3:4600001-4640000	Chr3:4638485-4646189	Protein of unknown function (DUF4050)	5.16621562534352	0.262577	6.82e-06	X2021.HN.stemDiameterLowe	HN	4625241	1	-1.187	lower priority
Sobic.009G174300	Chr9:56730001-56780000	Chr9:56731456-56738354	WRKY DNA -binding domain	5.30627305107635	0.258788	4.94e-06	X2020.LN.thirdLeafLengt	LN	56692387	1	-1.247	lower priority
Sobic.008G124800	Chr8:57855001-57895000	Chr8:57855231-57876253	Trafficking protein particle complex subunit 10, TRAPPC10	6.58670023591875	0.241949	2.59e-07	X2021.HN.stemDiameterLowe;X2021.HN.stemDiameterUppe;X2021.LN.stemDiameterLowe;X2021.LN.stemDiameterUppe	HN;LN	57874591;57874992;57875082	4	-1.317	lower priority
Sobic.008G124900	Chr8:57855001-57895000	Chr8:57874602-57886869	Chaperone protein dnaJ	6.58670023591875	0.241949	2.59e-07	X2021.HN.stemDiameterLowe;X2021.HN.stemDiameterUppe;X2021.LN.stemDiameterLowe;X2021.LN.stemDiameterUppe	HN;LN	57874591;57874992;57875082	4	-1.317	lower priority
Sobic.008G125000	Chr8:57855001-57895000	Chr8:57885941-57894874	AP-3 complex subunit	6.58670023591875	0.241949	2.59e-07	X2021.HN.stemDiameterLowe;X2021.HN.stemDiameterUppe;X2021.LN.stemDiameterLowe;X2021.LN.stemDiameterUppe	HN;LN	57874591;57874992;57875082	4	-1.317	lower priority
Sobic.008G125100	Chr8:57855001-57895000	Chr8:57891787-57900672	Dihydrofolate synthetase	6.58670023591875	0.241949	2.59e-07	X2021.HN.stemDiameterLowe;X2021.HN.stemDiameterUppe;X2021.LN.stemDiameterLowe;X2021.LN.stemDiameterUppe	HN;LN	57874591;57874992;57875082	4	-1.317	lower priority
Sobic.001G295000	Chr1:61475001-61540000	Chr1:61473237-61479544	Cyclin	5.38933983691012	0.254663	4.08e-06	X2020.HN.primaryBranchNumbe;X2021.HN.thirdLeafLengt	HN	61483797;61552313	2	-1.332	lower priority
Sobic.001G295100	Chr1:61475001-61540000	Chr1:61480102-61485051	May be involved in both secretory and endocytic intracellular trafficking in the endosomal prevacuolar compartments	5.38933983691012	0.254663	4.08e-06	X2020.HN.primaryBranchNumbe;X2021.HN.thirdLeafLengt	HN	61483797;61552313	2	-1.332	lower priority
Sobic.001G295200	Chr1:61475001-61540000	Chr1:61482738-61489388	Nucleoside diphosphate kinase	5.38933983691012	0.254663	4.08e-06	X2020.HN.primaryBranchNumbe;X2021.HN.thirdLeafLengt	HN	61483797;61552313	2	-1.332	lower priority
Sobic.001G295300	Chr1:61475001-61540000	Chr1:61486342-61492639	Peptide methionine sulfoxide reductase	5.38933983691012	0.254663	4.08e-06	X2020.HN.primaryBranchNumbe;X2021.HN.thirdLeafLengt	HN	61483797;61552313	2	-1.332	lower priority
Sobic.001G295400	Chr1:61475001-61540000	Chr1:61489998-61499926	Protein kinase domain	5.38933983691012	0.254663	4.08e-06	X2020.HN.primaryBranchNumbe;X2021.HN.thirdLeafLengt	HN	61483797;61552313	2	-1.332	lower priority
Sobic.001G295500	Chr1:61475001-61540000	Chr1:61496504-61503309	isoform X1	5.38933983691012	0.254663	4.08e-06	X2020.HN.primaryBranchNumbe;X2021.HN.thirdLeafLengt	HN	61483797;61552313	2	-1.332	lower priority
Sobic.001G295600	Chr1:61475001-61540000	Chr1:61500494-61508809	Myb-like DNA-binding domain	5.38933983691012	0.254663	4.08e-06	X2020.HN.primaryBranchNumbe;X2021.HN.thirdLeafLengt	HN	61483797;61552313	2	-1.332	lower priority
Sobic.009G048466	Chr9:4690001-4735000	Chr9:4712147-4717162	-	5.83268266525182	0.246519	1.47e-06	X2021.LN.daysToFlowe	LN	4713041	1	-1.418	lower priority
Sobic.003G296200	Chr3:69145001-69185000	Chr3:69143245-69154842	Triose-phosphate Transporter family	5.69250396208679	0.245358	2.03e-06	X2020.HN.tillersPerPlan	HN	69126386	1	-1.49	lower priority
Sobic.003G296300	Chr3:69145001-69185000	Chr3:69152112-69158512	WRKY DNA -binding domain	5.69250396208679	0.245358	2.03e-06	X2020.HN.tillersPerPlan	HN	69126386	1	-1.49	lower priority
Sobic.001G287700	Chr1:60440001-60490000	Chr1:60485908-60491230	Protein of unknown function, DUF617	5.09582563171584	0.247065	8.02e-06	X2021.HN.tillersPerPlan	HN	60451419	1	-1.62	lower priority
Sobic.001G287800	Chr1:60440001-60490000	Chr1:60489525-60497946	Putative GTPase activating protein for Arf	5.09582563171584	0.247065	8.02e-06	X2021.HN.tillersPerPlan	HN	60451419	1	-1.62	lower priority
Sobic.006G154600	Chr6:52825001-52870000	Chr6:52840413-52845383	-	5.27083521030723	0.244564	5.36e-06	X2020.panicleGrainWeight.N	NR	52884862	1	-1.635	lower priority
Sobic.006G154800	Chr6:52825001-52870000	Chr6:52852112-52861174	BRO1-like domain	5.27083521030723	0.244564	5.36e-06	X2020.panicleGrainWeight.N	NR	52884862	1	-1.635	lower priority
Sobic.006G154900	Chr6:52825001-52870000	Chr6:52856971-52863863	Belongs to the mitochondrial carrier (TC 2.A.29) family	5.27083521030723	0.244564	5.36e-06	X2020.panicleGrainWeight.N	NR	52884862	1	-1.635	lower priority
Sobic.006G155000	Chr6:52825001-52870000	Chr6:52859490-52866830	Mitochondrial intermembrane space import and assembly protein	5.27083521030723	0.244564	5.36e-06	X2020.panicleGrainWeight.N	NR	52884862	1	-1.635	lower priority
Sobic.006G155100	Chr6:52825001-52870000	Chr6:52863689-52871251	RNA splicing	5.27083521030723	0.244564	5.36e-06	X2020.panicleGrainWeight.N	NR	52884862	1	-1.635	lower priority
Sobic.002G023200	Chr2:2130001-2180000	Chr2:2136988-2141794	Belongs to the CRISP family	5.00921730819686	0.247317	9.79e-06	X2021.LN.daysToFlowe	LN	2151286	1	-1.639	lower priority
Sobic.002G023300	Chr2:2130001-2180000	Chr2:2148949-2153790	Belongs to the CRISP family	5.00921730819686	0.247317	9.79e-06	X2021.LN.daysToFlowe	LN	2151286	1	-1.639	lower priority
Sobic.002G023400	Chr2:2130001-2180000	Chr2:2151105-2158238	Protein of unknown function, DUF594	5.00921730819686	0.247317	9.79e-06	X2021.LN.daysToFlowe	LN	2151286	1	-1.639	lower priority
Sobic.002G023500	Chr2:2130001-2180000	Chr2:2160062-2169333	Protein of unknown function, DUF594	5.00921730819686	0.247317	9.79e-06	X2021.LN.daysToFlowe	LN	2151286	1	-1.639	lower priority
Sobic.002G023600	Chr2:2130001-2180000	Chr2:2171252-2177837	protein dimerization activity	5.00921730819686	0.247317	9.79e-06	X2021.LN.daysToFlowe	LN	2151286	1	-1.639	lower priority
Sobic.002G023700	Chr2:2130001-2180000	Chr2:2177914-2185033	Protein of unknown function, DUF594	5.00921730819686	0.247317	9.79e-06	X2021.LN.daysToFlowe	LN	2151286	1	-1.639	lower priority
