Pedigree,Treatment,Bench,Row,Column,plant_height_rep_1,plant_height_rep_2,plant_height_rep_3,Pot_id
PI 656020,HN,2,25,11,37.0,32.7,43.0,2106
PI 576428,HN,2,24,11,36.3,33.6,33.0,2107
PI 534112,HN,2,23,11,34.7,34.0,33.0,2108
PI 564163,HN,2,22,11,38.5,38.6,39.5,2109
PI 533943,HN,2,21,11,37.2,38.4,37.5,2110
PI 656071,HN,2,30,12,37.6,35.2,33.2,2111
PI 656087,HN,2,29,12,33.2,28.6,30.2,2112
PI 533855,HN,2,28,12,27.2,27.9,26.7,2113
PI 534053,HN,2,27,12,31.2,31.5,NA,2114
PI 534028,HN,2,26,12,26.6,25.6,23.7,2115
PI 576364,HN,2,25,12,28.3,29.5,27.8,2116
PI 576393,HN,2,24,12,36.5,35.8,27.7,2117
PI 597976,HN,2,23,12,35.0,30.7,30.1,2118
PI 656041,HN,2,22,12,31.3,35.3,25.7,2119
PI 576339,HN,2,21,12,33.5,30.6,30.8,2120
PI 656059,HN,2,30,13,29.2,26.6,24.6,2121
PI 655983,HN,2,29,13,31.4,27.2,30.2,2122
PI 613536,HN,2,28,13,31.2,NA,NA,2123
PI 655982,HN,2,27,13,32.5,27.1,38.2,2124
PI 533794,HN,2,26,13,28.7,25.6,29.5,2125
PI 533939,HN,2,25,13,28.7,34.2,35.6,2126
PI 656004,HN,2,24,13,24.9,33.4,NA,2127
PI 656024,HN,2,23,13,40.9,41.5,43.7,2128
PI 595739,HN,2,22,13,43.7,46.2,45.8,2129
PI 533937,HN,2,21,13,33.5,34.9,37.6,2130
PI 533845,HN,2,30,14,33.7,34.8,32.3,2131
PI 655977,HN,2,29,14,42.8,40.4,38.9,2132
PI 534157,HN,2,28,14,52.9,56.7,NA,2133
PI 534123,HN,2,27,14,33.6,34.2,41.9,2134
PI 561072,HN,2,26,14,43.4,42.2,35.9,2135
PI 564163,HN,2,25,14,34.6,35.1,39.2,2136
PI 533750,HN,2,24,14,34.2,35.8,39.6,2137
PI 533957,HN,2,23,14,37.1,40.6,41.2,2138
PI 656044,HN,2,22,14,32.9,36.8,45.4,2139
PI 576381,HN,2,21,14,39.8,41.9,44.2,2140
PI 534115,HN,2,30,15,36.5,40.3,NA,2141
PI 656049,HN,2,29,15,39.6,40.5,43.7,2142
PI 656084,HN,2,28,15,40.7,41.2,42.3,2143
PI 656043,HN,2,27,15,43.6,45.7,46.4,2144
PI 656007,HN,2,26,15,26.3,29.4,NA,2145
PI 597971,HN,2,25,15,31.2,32.4,33.3,2146
PI 576396,HN,2,24,15,31.9,33.6,37.1,2147
PI 659696,HN,2,23,15,37.8,36.1,38.2,2148
PI 533776,HN,2,22,15,34.5,36.8,37.5,2149
PI 656061,HN,2,21,15,43.6,45.3,NA,2150
PI 656033,HN,2,30,16,31.6,33.9,35.2,2151
PI 655971,HN,2,29,16,30.3,31.4,32.5,2152
PI 656118,HN,2,28,16,43.6,45.9,44.3,2153
PI 656107,HN,2,27,16,39.0,NA,NA,2154
PI 542718,HN,2,26,16,40.1,40.7,42.6,2155
PI 564163,HN,2,25,16,24.3,32.9,38.1,2156
PI 552856,HN,2,24,16,38.7,41.8,42.5,2157
PI 533919,HN,2,23,16,49.6,32.1,36.9,2158
PI 655980,HN,2,22,16,38.1,42.5,44.6,2159
PI 533961,HN,2,21,16,38.6,41.3,45.7,2160
PI 659753,HN,2,30,17,35.6,38.4,39.2,2161
PI 533810,HN,2,29,17,33.5,36.1,38.4,2162
PI 656093,HN,2,28,17,33.4,35.8,36.1,2163
PI 656090,HN,2,27,17,33.2,34.4,36.4,2164
PI 576390,HN,2,26,17,24.6,25.9,28.6,2165
PI 533869,HN,2,25,17,30.2,32.6,33.5,2166
PI 655990,HN,2,24,17,28.2,29.4,NA,2167
PI 533852,HN,2,23,17,27.1,28.6,29.2,2168
PI 656015,HN,2,22,17,34.5,37.9,NA,2169
PI 656080,HN,2,21,17,26.5,31.4,39.2,2170
PI 564163,HN,2,30,18,40.5,44.3,45.7,2171
PI 597957,HN,2,29,18,35.9,36.4,37.8,2172
PI 656038,HN,2,28,18,34.7,36.8,40.5,2173
PI 655984,HN,2,27,18,33.1,35.4,36.2,2174
PI 656039,HN,2,26,18,37.2,40.4,NA,2175
PI 534075,HN,2,25,18,29.4,31.6,33.2,2176
PI 533970,HN,2,24,18,32.9,34.7,36.5,2177
PI 576385,HN,2,23,18,30.4,32.6,32.9,2178
PI 534163,HN,2,22,18,29.5,39.2,NA,2179
PI 533980,HN,2,21,18,27.5,45.5,NA,2180
PI 595714,HN,2,40,1,26.3,23.4,27.7,2181
PI 656046,HN,2,39,1,35.8,34.7,38.7,2182
PI 576130,HN,2,38,1,23.5,31.3,35.5,2183
PI 597980,HN,2,37,1,31.3,34.4,35.5,2184
PI 576386,HN,2,36,1,NA,NA,NA,2185
PI 656097,HN,2,35,1,33.1,36.4,38.2,2186
PI 533866,HN,2,34,1,24.7,31.9,32.6,2187
PI 656026,HN,2,33,1,36.8,NA,NA,2188
PI 655972,HN,2,32,1,32.3,35.4,37.1,2189
PI 533871,HN,2,31,1,36.4,37.8,NA,2190
PI 534155,HN,2,40,2,26.4,NA,NA,2191
PI 595740,HN,2,39,2,28.2,27.8,30.1,2192
PI 656047,HN,2,38,2,30.7,35.7,31.8,2193
PI 533762,HN,2,37,2,29.8,32.4,28.6,2194
PI 533987,HN,2,36,2,40.2,32.7,40.8,2195
PI 533954,HN,2,35,2,37.1,38.6,39.4,2196
PI 656077,HN,2,34,2,33.9,34.3,37.5,2197
PI 642998,HN,2,33,2,44.5,46.7,47.3,2198
PI 534097,HN,2,32,2,36.4,38.9,39.4,2199
PI 533991,HN,2,31,2,36.5,42.6,42.1,2200
PI 656088,HN,2,40,3,41.7,37.7,32.6,2201
PI 533822,HN,2,39,3,29.5,30.7,32.6,2202
PI 533757,HN,2,38,3,29.6,30.1,26.7,2203
PI 656068,HN,2,37,3,32.8,35.7,31.6,2204
PI 655999,HN,2,36,3,33.0,39.3,35.7,2205
PI 534167,HN,2,35,3,32.6,34.7,NA,2206
PI 656037,HN,2,34,3,35.7,36.4,NA,2207
PI 564163,HN,2,33,3,30.5,32.8,36.4,2208
PI 656095,HN,2,32,3,36.7,42.9,44.8,2209
PI 595699,HN,2,31,3,32.6,34.8,35.2,2210
PI 595744,HN,2,40,4,38.0,41.2,NA,2211
PI 533799,HN,2,39,4,40.5,31.0,NA,2212
PI 656076,HN,2,38,4,34.7,34.6,28.6,2213
PI 656019,HN,2,37,4,28.4,31.7,28.8,2214
PI 534070,HN,2,36,4,38.5,38.0,38.5,2215
PI 533821,HN,2,35,4,38.5,40.2,NA,2216
PI 597972,HN,2,34,4,34.7,35.3,36.1,2217
PI 656070,HN,2,33,4,37.0,40.0,42.0,2218
PI 576333,HN,2,32,4,32.6,34.7,36.9,2219
PI 656057,HN,2,31,4,36.1,37.4,38.2,2220
PI 564163,HN,2,40,5,36.5,33.0,39.0,2221
PI 655974,HN,2,39,5,37.8,39.2,36.0,2222
PI 576352,HN,2,38,5,35.9,35.7,31.8,2223
PI 641824,HN,2,37,5,31.3,33.9,28.8,2224
PI 576422,HN,2,36,5,35.3,34.0,30.7,2225
PI 534116,HN,2,35,5,33.5,34.8,NA,2226
PI 656055,HN,2,34,5,39.6,42.5,NA,2227
PI 533996,HN,2,33,5,30.8,31.2,40.2,2228
PI 655988,HN,2,32,5,32.7,33.4,35.8,2229
PI 533856,HN,2,31,5,34.8,38.2,NA,2230
PI 17548,HN,2,40,6,26.5,32.6,26.8,2231
PI 656082,HN,2,39,6,30.4,28.7,26.6,2232
PI 656089,HN,2,38,6,29.8,28.4,NA,2233
PI 656101,HN,2,37,6,25.0,24.7,31.3,2234
PI 576375,HN,2,36,6,35.8,24.8,30.0,2235
PI 533814,HN,2,35,6,34.2,35.4,36.1,2236
PI 534127,HN,2,34,6,32.9,33.6,34.8,2237
PI 533924,HN,2,33,6,30.6,34.2,NA,2238
PI 656103,HN,2,32,6,30.8,32.7,33.5,2239
PI 534047,HN,2,31,6,30.5,31.8,32.2,2240
PI 597946,HN,2,40,7,33.6,30.4,36.1,2241
PI 597966,HN,2,39,7,40.3,31.3,27.6,2242
PI 595743,HN,2,38,7,27.4,39.6,42.2,2243
PI 533838,HN,2,37,7,28.4,30.8,29.2,2244
PI 533903,HN,2,36,7,36.2,33.5,32.4,2245
PI 534132,HN,2,35,7,41.2,30.3,NA,2246
PI 533766,HN,2,34,7,35.5,30.2,27.8,2247
PI 533831,HN,2,33,7,27.0,31.4,25.3,2248
PI 534145,HN,2,32,7,30.5,39.5,33.4,2249
PI 576340,HN,2,31,7,28.4,27.5,23.2,2250
PI 656121,HN,2,40,8,26.7,36.6,34.2,2251
PI 576425,HN,2,39,8,39.6,40.7,45.8,2252
PI 533830,HN,2,38,8,40.8,45.1,35.4,2253
PI 655993,HN,2,37,8,32.8,31.6,27.8,2254
PI 533760,HN,2,36,8,26.6,NA,NA,2255
PI 641849,HN,2,35,8,31.2,35.0,37.3,2256
PI 656053,HN,2,34,8,32.7,41.3,35.3,2257
PI 564163,HN,2,33,8,37.3,34.6,33.0,2258
PI 629040,HN,2,32,8,35.3,43.9,45.5,2259
PI 533902,HN,2,31,8,43.8,27.9,41.5,2260
PI 576359,HN,2,40,9,30.2,35.7,32.2,2261
PI 534037,HN,2,39,9,34.7,29.3,35.3,2262
PI 656002,HN,2,38,9,41.6,37.2,43.6,2263
PI 533843,HN,2,37,9,45.9,38.3,42.7,2264
PI 656079,HN,2,36,9,30.6,33.7,27.9,2265
PI 533754,HN,2,35,9,38.2,37.5,35.6,2266
PI 534144,HN,2,34,9,40.7,35.6,30.0,2267
PI 656051,HN,2,33,9,18.9,28.7,14.5,2268
PI 656036,HN,2,32,9,37.5,35.0,24.0,2269
PI 533955,HN,2,31,9,34.1,30.1,35.7,2270
PI 659695,HN,2,40,10,45.0,51.7,49.5,2271
PI 533940,HN,2,39,10,33.1,32.7,38.1,2272
PI 655995,HN,2,38,10,48.3,48.2,51.7,2273
PI 656106,HN,2,37,10,42.7,43.2,43.4,2274
PI 597982,HN,2,36,10,41.6,35.3,36.4,2275
PI 564163,HN,2,35,10,35.3,30.1,29.8,2276
PI 548797,HN,2,34,10,33.1,28.2,NA,2277
PI 329440,HN,2,33,10,27.0,31.5,30.7,2278
PI 659691,HN,2,32,10,31.6,31.6,30.8,2279
PI 34911,HN,2,31,10,29.6,29.8,NA,2280
PI 601816,HN,2,40,11,30.9,27.9,32.5,2281
PI 561071,HN,2,39,11,35.9,36.8,34.5,2282
PI 656113,HN,2,38,11,28.2,40.4,30.3,2283
PI 565121,HN,2,37,11,32.6,30.3,33.6,2284
PI 576399,HN,2,36,11,43.4,35.8,32.6,2285
PI 574455,HN,2,35,11,32.6,38.8,17.6,2286
PI 655979,HN,2,34,11,32.5,29.8,41.3,2287
PI 533863,HN,2,33,11,33.0,30.1,32.0,2288
PI 534021,HN,2,32,11,27.8,24.4,24.7,2289
PI 655976,HN,2,31,11,35.2,39.8,35.1,2290
PI 595741,HN,2,40,12,36.1,33.7,29.4,2291
PI 534124,HN,2,39,12,37.2,NA,NA,2292
PI 564163,HN,2,38,12,45.3,48.5,34.3,2293
PI 533949,HN,2,37,12,52.2,36.7,45.3,2294
PI 534133,HN,2,36,12,48.2,18.0,52.3,2295
PI 656001,HN,2,35,12,38.6,32.8,39.6,2296
PI 655973,HN,2,34,12,39.2,33.5,33.0,2297
PI 656091,HN,2,33,12,40.6,44.3,46.5,2298
PI 533938,HN,2,32,12,33.4,36.7,38.5,2299
PI 576373,HN,2,31,12,32.7,36.4,38.5,2300
PI 656092,HN,2,40,13,37.5,39.6,NA,2301
PI 659694,HN,2,39,13,35.2,38.3,NA,2302
PI 534063,HN,2,38,13,31.2,38.0,39.3,2303
PI 656034,HN,2,37,13,36.5,39.9,42.7,2304
PI 655991,HN,2,36,13,35.7,36.0,41.4,2305
PI 597973,HN,2,35,13,37.2,37.2,41.8,2306
PI 641874,HN,2,34,13,28.1,36.1,27.0,2307
PI 656081,HN,2,33,13,37.4,39.6,39.3,2308
PI 656018,HN,2,32,13,35.3,32.1,37.0,2309
PI 656104,HN,2,31,13,39.0,35.5,37.9,2310
PI 597960,HN,2,40,14,26.8,32.5,42.8,2311
PI 597958,HN,2,39,14,37.7,36.5,32.6,2312
PI 533789,HN,2,38,14,35.2,37.0,34.7,2313
PI 533758,HN,2,37,14,39.6,32.3,34.5,2314
PI 642791,HN,2,36,14,35.9,38.2,29.8,2315
PI 655998,HN,2,35,14,39.2,41.6,46.5,2316
PI 533965,HN,2,34,14,42.5,44.3,NA,2317
PI 564163,HN,2,33,14,41.6,42.8,42.5,2318
PI 597951,HN,2,32,14,45.2,46.9,NA,2319
PI 533967,HN,2,31,14,35.4,36.1,38.5,2320
PI 656062,HN,2,40,15,23.5,42.0,NA,2321
PI 533910,HN,2,39,15,31.5,35.6,36.0,2322
PI 653617,HN,2,38,15,46.0,34.7,38.4,2323
PI 656056,HN,2,37,15,45.7,NA,NA,2324
PI 534054,HN,2,36,15,36.2,36.7,34.5,2325
PI 564164,HN,2,35,15,46.9,47.2,NA,2326
PI 656010,HN,2,34,15,44.6,45.2,46.9,2327
PI 533785,HN,2,33,15,42.3,43.6,45.7,2328
PI 533936,HN,2,32,15,36.9,37.1,38.4,2329
PI 533962,HN,2,31,15,38.5,39.0,40.7,2330
PI 534092,HN,2,40,16,35.8,40.6,NA,2331
PI 533989,HN,2,39,16,34.7,39.5,34.1,2332
PI 656075,HN,2,38,16,32.3,38.7,32.6,2333
PI 656086,HN,2,37,16,36.2,41.0,35.7,2334
PI 533948,HN,2,36,16,39.0,33.6,34.0,2335
PI 534009,HN,2,35,16,42.6,44.1,46.3,2336
PI 651496,HN,2,34,16,42.4,43.5,46.1,2337
PI 655997,HN,2,33,16,41.5,42.6,43.8,2338
PI 533972,HN,2,32,16,40.1,43.9,46.3,2339
PI 533800,HN,2,31,16,35.9,38.6,40.2,2340
PI 655975,HN,2,40,17,39.0,33.6,34.0,2341
PI 533901,HN,2,39,17,27.5,28.5,28.5,2342
PI 655992,HN,2,38,17,38.5,38.3,31.9,2343
PI 533761,HN,2,37,17,42.3,33.5,NA,2344
PI 533759,HN,2,36,17,31.0,36.2,31.3,2345
PI 597952,HN,2,35,17,31.7,34.8,36.4,2346
PI 656085,HN,2,34,17,34.5,36.3,42.1,2347
PI 576347,HN,2,33,17,36.2,40.9,42.9,2348
PI 576380,HN,2,32,17,40.6,43.1,44.2,2349
PI 655989,HN,2,31,17,32.7,35.4,38.6,2350
PI 656094,HN,2,40,18,31.5,29.7,31.2,2351
PI 24969,HN,2,39,18,31.2,30.0,29.7,2352
PI 595720,HN,2,38,18,34.0,33.1,34.0,2353
PI 534128,HN,2,37,18,47.0,NA,NA,2354
PI 655985,HN,2,36,18,33.5,36.2,31.0,2355
PI 655986,HN,2,35,18,31.9,35.8,37.6,2356
PI 534105,HN,2,34,18,35.6,37.4,39.2,2357
PI 564163,HN,2,33,18,40.8,42.5,43.6,2358
PI 576394,HN,2,32,18,33.2,34.7,36.8,2359
PI 533841,HN,2,31,18,29.4,31.6,33.4,2360
,,,,,,,,
