kegg_gene	ncbi_gene_id	kegg_name	kegg_ko	kegg_ec	kegg_pathways	ncbi_symbol	ncbi_description	ncbi_chromosome	sorbi_locus_tag	sobic_v5_id	evidence_kegg_00910	evidence_kegg_01310	evidence_keyword_core	evidence_terms	evidence_score	confidence_tier	chr	chr_label	start1	end1	strand	present_in_v5_gff	kegg_gene_url	ncbi_gene_url
sbi:8071782	8071782	(RefSeq) protein NRT1/ PTR FAMILY 7.3	K26554			LOC8071782	protein NRT1/ PTR FAMILY 7.3	4	SORBI_3004G260500	Sobic.004G260500.v5.1	False	False	True	nitrate transporter	1	low	4	Chr04	63106004	63108666	+	True	https://www.kegg.jp/entry/sbi:8071782	https://www.ncbi.nlm.nih.gov/gene/8071782
sbi:8073896	8073896	(RefSeq) protein NRT1/ PTR FAMILY 7.2	K26554			LOC8073896	protein NRT1/ PTR FAMILY 7.2	4	SORBI_3004G276200	Sobic.004G276200.v5.1	False	False	True	nitrate transporter	1	low	4	Chr04	64493835	64498013	+	True	https://www.kegg.jp/entry/sbi:8073896	https://www.ncbi.nlm.nih.gov/gene/8073896
sbi:110435376	110435376	(RefSeq) protein NRT1/ PTR FAMILY 4.5-like	K26548			LOC110435376	protein NRT1/ PTR FAMILY 4.5-like	5	SORBI_3005G107500	Sobic.005G107500.v5.1	False	False	True	nitrate transporter	1	low	5	Chr05	20558231	20563404	+	True	https://www.kegg.jp/entry/sbi:110435376	https://www.ncbi.nlm.nih.gov/gene/110435376
sbi:8075842	8075842	(RefSeq) protein NRT1/ PTR FAMILY 4.4	K26548			LOC8075842	protein NRT1/ PTR FAMILY 4.4	6	SORBI_3006G089300	Sobic.006G089300.v5.1	False	False	True	nitrate transporter	1	low	6	Chr06	47256442	47261465	-	True	https://www.kegg.jp/entry/sbi:8075842	https://www.ncbi.nlm.nih.gov/gene/8075842
sbi:8073590	8073590	(RefSeq) probable high-affinity nitrate transporter-activating protein 2.2 isoform X2	K26563			LOC8073590	probable high-affinity nitrate transporter-activating protein 2.2	6	SORBI_3006G121200	Sobic.006G121200.v5.1	False	False	True	nitrate transporter	1	low	6	Chr06	50184355	50187708	-	True	https://www.kegg.jp/entry/sbi:8073590	https://www.ncbi.nlm.nih.gov/gene/8073590
sbi:8060183	8060183	(RefSeq) protein NRT1/ PTR FAMILY 4.3 isoform X1	K26548			LOC8060183	protein NRT1/ PTR FAMILY 4.3	6	SORBI_3006G130501	Sobic.006G130501.v5.1	False	False	True	nitrate transporter	1	low	6	Chr06	50875627	50879457	-	True	https://www.kegg.jp/entry/sbi:8060183	https://www.ncbi.nlm.nih.gov/gene/8060183
sbi:8060185	8060185	(RefSeq) protein NRT1/ PTR FAMILY 4.6	K26548			LOC8060185	protein NRT1/ PTR FAMILY 4.6	6	SORBI_3006G130700	Sobic.006G130700.v5.1	False	False	True	nitrate transporter	1	low	6	Chr06	50890072	50897098	-	True	https://www.kegg.jp/entry/sbi:8060185	https://www.ncbi.nlm.nih.gov/gene/8060185
sbi:8075921	8075921	(RefSeq) ammonium transporter 1 member 1 isoform X1	K03320			LOC8075921	ammonium transporter 1 member 1	6	SORBI_3006G143100	Sobic.006G143100.v5.1	False	False	True	ammonium transporter	1	low	6	Chr06	51951225	51954950	+	True	https://www.kegg.jp/entry/sbi:8075921	https://www.ncbi.nlm.nih.gov/gene/8075921
sbi:8066531	8066531	(RefSeq) protein NRT1/ PTR FAMILY 5.10	K26562			LOC8066531	protein NRT1/ PTR FAMILY 5.10	6	SORBI_3006G279700	Sobic.006G279700.v5.1	False	False	True	nitrate transporter	1	low	6	Chr06	62410579	62417764	+	True	https://www.kegg.jp/entry/sbi:8066531	https://www.ncbi.nlm.nih.gov/gene/8066531
sbi:8067856	8067856	(RefSeq) protein NRT1/ PTR FAMILY 6.3	K26549			LOC8067856	protein NRT1/ PTR FAMILY 6.3	7	SORBI_3007G044300	Sobic.007G044300.v5.1	False	False	True	nitrate transporter	1	low	7	Chr07	4468504	4478915	+	True	https://www.kegg.jp/entry/sbi:8067856	https://www.ncbi.nlm.nih.gov/gene/8067856
sbi:8057836	8057836	(RefSeq) glutamate synthase 1 [NADH], chloroplastic				LOC8057836	glutamate synthase 1 [NADH], chloroplastic	7	SORBI_3007G174600	Sobic.007G174600.v5.1	False	False	True	glutamate synthase	1	low	7	Chr07	64251611	64257135	-	True	https://www.kegg.jp/entry/sbi:8057836	https://www.ncbi.nlm.nih.gov/gene/8057836
sbi:8055194	8055194	(RefSeq) protein NRT1/ PTR FAMILY 5.10	K26562			LOC8055194	protein NRT1/ PTR FAMILY 5.10	7	SORBI_3007G213200	Sobic.007G213200.v5.1	False	False	True	nitrate transporter	1	low	7	Chr07	67584589	67586930	+	True	https://www.kegg.jp/entry/sbi:8055194	https://www.ncbi.nlm.nih.gov/gene/8055194
sbi:8071422	8071422	(RefSeq) probable peptide/nitrate transporter At3g43790				LOC8071422	probable peptide/nitrate transporter At3g43790	8	SORBI_3008G016000	Sobic.008G016000.v5.1	False	False	True	nitrate transporter	1	low	8	Chr08	1394066	1399320	+	True	https://www.kegg.jp/entry/sbi:8071422	https://www.ncbi.nlm.nih.gov/gene/8071422
sbi:8086108	8086108	(RefSeq) protein NRT1/ PTR FAMILY 2.9	K26552			LOC8086108	protein NRT1/ PTR FAMILY 2.9	8	SORBI_3008G180300	Sobic.008G180300.v5.1	False	False	True	nitrate transporter	1	low	8	Chr08	64459635	64462008	+	True	https://www.kegg.jp/entry/sbi:8086108	https://www.ncbi.nlm.nih.gov/gene/8086108
sbi:8065254	8065254	(RefSeq) protein NRT1/ PTR FAMILY 2.9	K26552			LOC8065254	protein NRT1/ PTR FAMILY 2.9	8	SORBI_3008G190200	Sobic.008G190200.v5.1	False	False	True	nitrate transporter	1	low	8	Chr08	65493276	65498157	-	True	https://www.kegg.jp/entry/sbi:8065254	https://www.ncbi.nlm.nih.gov/gene/8065254
sbi:8061309	8061309	(RefSeq) protein NRT1/ PTR FAMILY 2.7	K26552			LOC8061309	protein NRT1/ PTR FAMILY 2.7	9	SORBI_3009G099000	Sobic.009G099000.v5.1	False	False	True	nitrate transporter	1	low	9	Chr09	41786380	41803870	+	True	https://www.kegg.jp/entry/sbi:8061309	https://www.ncbi.nlm.nih.gov/gene/8061309
sbi:8083733	8083733	(RefSeq) protein NRT1/ PTR FAMILY 5.1	K26562			LOC8083733	protein NRT1/ PTR FAMILY 5.1	9	SORBI_3009G101800	Sobic.009G101800.v5.1	False	False	True	nitrate transporter	1	low	9	Chr09	44287633	44301883	-	True	https://www.kegg.jp/entry/sbi:8083733	https://www.ncbi.nlm.nih.gov/gene/8083733
sbi:8072566	8072566	(RefSeq) ammonium transporter 2 member 1	K03320			LOC8072566	ammonium transporter 2 member 1	9	SORBI_3009G168700	Sobic.009G168700.v5.1	False	False	True	ammonium transporter	1	low	9	Chr09	56245786	56250025	+	True	https://www.kegg.jp/entry/sbi:8072566	https://www.ncbi.nlm.nih.gov/gene/8072566
sbi:8074568	8074568	(RefSeq) glutamate synthase 2 [NADH], chloroplastic				LOC8074568	glutamate synthase 2 [NADH], chloroplastic	9	SORBI_3009G225700	Sobic.009G225700.v5.1	False	False	True	glutamate synthase	1	low	9	Chr09	60561571	60573551	+	True	https://www.kegg.jp/entry/sbi:8074568	https://www.ncbi.nlm.nih.gov/gene/8074568
sbi:8074601	8074601	(RefSeq) urease accessory protein G	K03189			LOC8074601	urease accessory protein G	9	SORBI_3009G233700	Sobic.009G233700.v5.1	False	False	True	urease	1	low	9	Chr09	61117879	61120792	+	True	https://www.kegg.jp/entry/sbi:8074601	https://www.ncbi.nlm.nih.gov/gene/8074601
sbi:8057176	8057176	(RefSeq) LOW QUALITY PROTEIN: protein NRT1/ PTR FAMILY 4.3	K26548			LOC8057176	protein NRT1/ PTR FAMILY 4.3	5			False	False	True	nitrate transporter	1	low						False	https://www.kegg.jp/entry/sbi:8057176	https://www.ncbi.nlm.nih.gov/gene/8057176
sbi:8061488	8061488	(RefSeq) protein NRT1/ PTR FAMILY 5.8 isoform X1	K26562			LOC8061488	protein NRT1/ PTR FAMILY 5.8	10			False	False	True	nitrate transporter	1	low						False	https://www.kegg.jp/entry/sbi:8061488	https://www.ncbi.nlm.nih.gov/gene/8061488
sbi:8065037	8065037	(RefSeq) protein NRT1/ PTR FAMILY 4.6 isoform X3	K26548			LOC8065037	protein NRT1/ PTR FAMILY 4.6	10			False	False	True	nitrate transporter	1	low						False	https://www.kegg.jp/entry/sbi:8065037	https://www.ncbi.nlm.nih.gov/gene/8065037
sbi:8080180	8080180	(RefSeq) ammonium transporter 3 member 2	K03320			LOC8080180	ammonium transporter 3 member 2	1			False	False	True	ammonium transporter	1	low						False	https://www.kegg.jp/entry/sbi:8080180	https://www.ncbi.nlm.nih.gov/gene/8080180
sbi:8083146	8083146	(RefSeq) ammonium transporter 1 member 1				LOC8083146	ammonium transporter 1 member 1	5			False	False	True	ammonium transporter	1	low						False	https://www.kegg.jp/entry/sbi:8083146	https://www.ncbi.nlm.nih.gov/gene/8083146
sbi:8155736	8155736	(RefSeq) glutamate synthase 1 [NADH], chloroplastic				LOC8155736	glutamate synthase 1 [NADH], chloroplastic	Un			False	False	True	glutamate synthase	1	low						False	https://www.kegg.jp/entry/sbi:8155736	https://www.ncbi.nlm.nih.gov/gene/8155736
